startframe	starttime	endframe	endtime
0	0	18	0.75
19	0.792	37	1.543
38	1.584	56	2.335
57	2.377	61	2.544
62	2.585	75	3.128
76	3.169	94	3.92
95	3.962	124	5.171
125	5.213	130	5.422
131	5.463	163	6.798
164	6.84	182	7.59
183	7.632	208	8.675
209	8.717	255	10.635
256	10.677	359	14.973
360	15.015	393	16.391
394	16.433	489	20.395
490	20.437	585	24.399
586	24.441	670	27.944
671	27.986	760	31.698
761	31.74	867	36.161
868	36.202	949	39.581
950	39.622	955	39.831
956	39.873	1017	42.417
1018	42.459	1099	45.837
1100	45.879	1101	45.92
1102	45.962	1158	48.298
1159	48.339	1223	51.009
1224	51.051	1290	53.803
1291	53.845	1293	53.928
1294	53.97	1389	57.932
1390	57.974	1493	62.27
1494	62.312	1553	64.773
1554	64.814	1634	68.151
1635	68.193	1701	70.945
1702	70.987	1711	71.362
1712	71.404	1781	74.282
1782	74.324	1801	75.116
1802	75.158	1867	77.869
1868	77.911	1874	78.161
1875	78.203	1890	78.828
1891	78.87	1906	79.496
1907	79.537	1920	80.08
1921	80.121	1928	80.413
1929	80.455	1937	80.789
1938	80.83	1974	82.332
1975	82.373	1998	83.333
1999	83.374	2087	87.045
2088	87.087	2120	88.421
2121	88.463	2129	88.797
2130	88.838	2144	89.422
2145	89.464	2174	90.673
2175	90.715	2194	91.508
2195	91.549	2200	91.758
2201	91.8	2210	92.175
2211	92.217	2233	93.134
2234	93.176	2283	95.22
2284	95.261	2329	97.138
2330	97.18	2340	97.597
2341	97.639	2348	97.931
2349	97.972	2360	98.431
2361	98.473	2370	98.848
2371	98.89	2413	100.642
2414	100.683	2424	101.101
2425	101.142	2514	104.854
2515	104.896	2574	107.357
2575	107.398	2619	109.234
2620	109.275	2648	110.443
2649	110.485	2653	110.652
2654	110.693	2665	111.152
2666	111.194	2715	113.238
2716	113.279	2928	122.122
2929	122.163	2940	122.622
2941	122.664	2949	122.997
2950	123.039	3043	126.918
3044	126.96	3111	129.754
3112	129.796	3201	133.508
3202	133.55	3282	136.886
3283	136.928	3339	139.264
3340	139.305	3388	141.307
3389	141.349	3443	143.601
3444	143.643	3484	145.311
3485	145.353	3616	150.817
3617	150.859	3663	152.777
3664	152.819	3704	154.487
3705	154.529	3755	156.614
3756	156.656	3836	159.993
3837	160.034	3957	165.039
3958	165.081	4252	177.343
4253	177.385	4431	184.809
4432	184.851	4435	184.976
4436	185.018	4445	185.393
4446	185.435	4526	188.771
4527	188.813	4633	193.234
4634	193.276	4895	204.162
4896	204.204	4967	207.165
4968	207.207	5174	215.798
5175	215.84	5235	218.343
5236	218.384	5249	218.927
5250	218.968	5267	219.677
5268	219.719	5384	224.557
5385	224.599	5396	225.058
5397	225.099	5402	225.308
5403	225.35	5473	228.269
5474	228.311	5554	231.648
5555	231.689	5614	234.15
5615	234.192	5974	249.165
5975	249.207	5990	249.832
5991	249.874	6338	264.347
6339	264.389	6526	272.188
6527	272.23	6626	276.359
6627	276.401	6721	280.321
6722	280.363	7057	294.335
7058	294.377	7153	298.339
7154	298.381	7189	299.841
7190	299.882	7204	300.466
7205	300.508	7214	300.883
7215	300.925	7231	301.592
7232	301.634	7239	301.926
7240	301.968	7256	302.635
7257	302.677	7278	303.553
7279	303.594	7280	303.636
7281	303.678	7302	304.554
7303	304.595	7304	304.637
7305	304.679	7345	306.347
7346	306.389	7359	306.931
7360	306.973	7389	308.182
7390	308.224	7414	309.225
7415	309.267	7485	312.186
7486	312.228	7642	318.735
7643	318.776	7766	323.906
7767	323.948	7792	324.991
7793	325.033	7820	326.159
7821	326.2	7875	328.453
7876	328.494	7931	330.788
7932	330.83	7959	331.956
7960	331.998	7987	333.124
7988	333.166	8075	336.794
8076	336.836	8150	339.922
8151	339.964	8533	355.897
8534	355.938	8807	367.325
8808	367.367	8819	367.825
8820	367.867	8856	369.369
8857	369.41	8870	369.952
8871	369.994	8900	371.204
8901	371.245	8922	372.121
8923	372.163	8946	373.122
8947	373.164	8961	373.748
8962	373.79	8968	374.04
8969	374.082	9001	375.416
9002	375.458	9004	375.541
9005	375.583	9015	376
9016	376.042	9029	376.584
9030	376.626	9045	377.251
9046	377.293	9116	380.213
9117	380.254	9152	381.714
9153	381.756	9213	384.258
9214	384.3	9283	387.178
9284	387.22	9399	392.016
9400	392.058	9438	393.643
9439	393.684	9486	395.645
9487	395.686	9533	397.605
9534	397.647	9575	399.357
9576	399.399	9585	399.774
9586	399.816	9589	399.941
9590	399.982	9609	400.775
9610	400.817	9615	401.025
9616	401.067	9630	401.651
9631	401.692	9643	402.193
9644	402.235	9654	402.652
9655	402.693	9701	404.612
9702	404.654	9716	405.238
9717	405.279	9720	405.405
9721	405.446	9774	407.657
9775	407.698	9826	409.826
9827	409.867	9878	411.994
9879	412.036	9924	413.913
9925	413.955	10007	417.375
10008	417.417	10048	419.085
10049	419.127	10111	421.712
10112	421.754	10139	422.88
10140	422.922	10205	425.633
10206	425.675	10229	426.634
10230	426.676	10267	428.219
10268	428.261	10296	429.429
10297	429.47	10324	430.596
10325	430.638	10334	431.013
10335	431.055	10343	431.389
10344	431.431	10351	431.722
10352	431.764	10363	432.223
10364	432.265	10378	432.849
10379	432.89	10392	433.433
10393	433.474	10408	434.1
10409	434.142	10416	434.434
10417	434.475	10431	435.059
10432	435.101	10438	435.351
10439	435.393	10454	436.018
10455	436.06	10466	436.519
10467	436.561	10476	436.936
10477	436.978	10514	438.521
10515	438.563	10550	440.022
10551	440.064	10561	440.481
10562	440.523	10578	441.19
10579	441.232	10596	441.941
10597	441.983	10661	444.652
10662	444.694	10669	444.986
10670	445.027	10703	446.404
10704	446.446	10734	447.697
10735	447.738	10780	449.615
10781	449.657	10829	451.659
10830	451.701	10838	452.034
10839	452.076	10850	452.535
10851	452.577	10882	453.87
10883	453.911	10925	455.663
10926	455.705	11140	464.63
11141	464.672	11216	467.8
11217	467.842	11306	471.554
11307	471.596	11334	472.722
11335	472.763	11338	472.889
11339	472.93	11361	473.848
11362	473.89	11373	474.348
11374	474.39	11409	475.85
11410	475.892	11456	477.81
11457	477.852	11481	478.853
11482	478.895	11566	482.398
11567	482.44	11694	487.737
11695	487.778	11837	493.701
11838	493.743	11889	495.87
11890	495.912	11903	496.454
11904	496.496	11910	496.746
11911	496.787	11963	498.956
11964	498.998	12028	501.667
12029	501.709	12445	519.06
12446	519.101	12541	523.064
12542	523.105	12632	526.859
12633	526.901	12911	538.496
12912	538.538	12918	538.788
12919	538.829	12978	541.29
12979	541.332	13093	546.087
13094	546.128	13245	552.426
13246	552.468	13353	556.931
13354	556.973	13362	557.306
13363	557.348	13383	558.182
13384	558.224	13413	559.433
13414	559.475	13425	559.934
13426	559.976	13493	562.77
13494	562.812	13625	568.276
13626	568.317	13710	571.821
13711	571.862	13784	574.907
13785	574.949	13911	580.204
13912	580.246	13962	582.331
13963	582.373	13970	582.665
13971	582.707	13980	583.082
13981	583.124	13998	583.833
13999	583.874	14003	584.041
14004	584.083	14016	584.584
14017	584.625	14031	585.209
14032	585.251	14047	585.876
14048	585.918	14057	586.294
14058	586.335	14070	586.836
14071	586.877	14074	587.003
14075	587.044	14089	587.628
14090	587.67	14105	588.296
14106	588.337	14123	589.046
14124	589.088	14145	589.964
14146	590.006	14198	592.174
14199	592.216	14309	596.804
14310	596.846	14462	603.185
14463	603.227	14524	605.771
14525	605.813	14634	610.359
14635	610.401	14779	616.407
14780	616.449	14936	622.955
14937	622.997	15033	627.001
15034	627.043	15568	649.315
15569	649.357	15694	654.57
15695	654.612	15782	658.24
15783	658.282	15826	660.076
15827	660.117	15861	661.535
15862	661.577	15863	661.619
15864	661.661	15875	662.119
15876	662.161	15971	666.123
15972	666.165	16072	670.336
16073	670.378	16116	672.171
16117	672.213	16122	672.421
16123	672.463	16189	675.216
16190	675.257	16395	683.808
16396	683.849	16473	687.061
16474	687.103	16546	690.106
16547	690.147	16679	695.653
16680	695.695	16818	701.45
16819	701.492	16917	705.579
16918	705.621	17569	732.773
17570	732.815	17574	732.982
17575	733.023	17583	733.357
17584	733.399	17847	744.368
17848	744.41	17853	744.618
17854	744.66	18081	754.128
